"C:\Program Files (x86)\JetBrains\PyCharm 2016.1.4\bin\runnerw.exe" C:\Python27\python.exe C:/Users/diego/OneDrive/Projetos/sistema_contabil/manage.py runserver localhost:8000
Performing system checks...

System check identified no issues (0 silenced).
December 04, 2016 - 00:07:21
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[04/Dec/2016 00:07:25] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 00:27:33] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 00:41:02] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 00:59:12] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 01:14:51] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 01:14:54] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 01:28:32] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 01:46:41] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 01:51:23] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 01:57:55] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 02:06:18] "GET / HTTP/1.1" 200 14491
[04/Dec/2016 02:07:26] "GET /favicon.ico HTTP/1.1" 404 4672
[04/Dec/2016 02:07:30] "GET /entidade/adicionar/ HTTP/1.1" 200 267651
[04/Dec/2016 02:07:31] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /entidade/adicionar/ HTTP/1.1" 200 267623
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/css/dataTables.bootstrap.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/datatable/plugins/responsivo/Responsive-2.0.2/css/responsive.bootstrap.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/datatable/plugins/select/Select-1.1.2/css/select.bootstrap.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/js/jquery.dataTables.min.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/datatable/DataTables-1.10.11/js/dataTables.bootstrap.min.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/datatable/plugins/select/Select-1.1.2/js/dataTables.select.min.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:57] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:58] "GET /arquivos_estaticos/jquery/jquery-editable-select/jquery.editable-select.min.css HTTP/1.1" 304 0
[04/Dec/2016 02:09:58] "GET /arquivos_estaticos/jquery/jquery-editable-select/jquery.editable-select.min.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:58] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[04/Dec/2016 02:09:58] "GET /arquivos_estaticos/scripts/protocolo/protocolo.js HTTP/1.1" 304 0
